Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,79.2,All races/ ethnicities (aggregated),2017,Life Expectancy
Allegany,76,All races/ ethnicities (aggregated),2017,Life Expectancy
Anne Arundel,79.5,All races/ ethnicities (aggregated),2017,Life Expectancy
Baltimore City,72.8,All races/ ethnicities (aggregated),2017,Life Expectancy
Baltimore County,78.3,All races/ ethnicities (aggregated),2017,Life Expectancy
Calvert,79.3,All races/ ethnicities (aggregated),2017,Life Expectancy
Caroline,76.2,All races/ ethnicities (aggregated),2017,Life Expectancy
Carroll,79,All races/ ethnicities (aggregated),2017,Life Expectancy
Cecil,76.1,All races/ ethnicities (aggregated),2017,Life Expectancy
Charles,78.9,All races/ ethnicities (aggregated),2017,Life Expectancy
Dorchester,76.1,All races/ ethnicities (aggregated),2017,Life Expectancy
Frederick,80,All races/ ethnicities (aggregated),2017,Life Expectancy
Garrett,78.2,All races/ ethnicities (aggregated),2017,Life Expectancy
Harford,79,All races/ ethnicities (aggregated),2017,Life Expectancy
Howard,83.5,All races/ ethnicities (aggregated),2017,Life Expectancy
Kent,79.1,All races/ ethnicities (aggregated),2017,Life Expectancy
Montgomery,84.8,All races/ ethnicities (aggregated),2017,Life Expectancy
Prince George's,79.1,All races/ ethnicities (aggregated),2017,Life Expectancy
Queen Anne's,79.8,All races/ ethnicities (aggregated),2017,Life Expectancy
Saint Mary's,79.2,All races/ ethnicities (aggregated),2017,Life Expectancy
Somerset,75,All races/ ethnicities (aggregated),2017,Life Expectancy
Talbot,81.3,All races/ ethnicities (aggregated),2017,Life Expectancy
Washington,77.5,All races/ ethnicities (aggregated),2017,Life Expectancy
Wicomico,76.7,All races/ ethnicities (aggregated),2017,Life Expectancy
Worcester,77.9,All races/ ethnicities (aggregated),2017,Life Expectancy
State,76.9,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Allegany,78.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Anne Arundel,78.3,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Baltimore City,70.9,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Baltimore County,77.3,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Calvert,77,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Caroline,75.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Carroll,77.3,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Cecil,72.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Charles,79.5,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Dorchester,73.2,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Frederick,77.9,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Garrett,,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Harford,76.8,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Howard,82,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Kent,75.6,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Montgomery,83.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Prince George's,78.7,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Queen Anne's,74.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Saint Mary's,77.6,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Somerset,75,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Talbot,77.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Washington,77.8,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Wicomico,74.2,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Worcester,72.2,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
State,79.9,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Allegany,75.6,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Anne Arundel,79.5,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Baltimore City,76.1,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Baltimore County,78.4,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Calvert,79.6,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Caroline,76.3,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Carroll,79,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Cecil,76.3,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Charles,78.2,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Dorchester,77.5,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Frederick,80,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Garrett,78.2,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Harford,79.3,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Howard,83.1,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Kent,79.8,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Montgomery,84.7,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Prince George's,79.7,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Queen Anne's,80.2,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Saint Mary's,79.3,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Somerset,74.7,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Talbot,82.3,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Washington,77.5,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Wicomico,77.5,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Worcester,79.1,White (Hispanic & Non-Hispanic),2017,Life Expectancy
State,79.5,All races/ ethnicities (aggregated),2016,Life Expectancy
Allegany,76.4,All races/ ethnicities (aggregated),2016,Life Expectancy
Anne Arundel,79.6,All races/ ethnicities (aggregated),2016,Life Expectancy
Baltimore City,73.4,All races/ ethnicities (aggregated),2016,Life Expectancy
Baltimore County,78.7,All races/ ethnicities (aggregated),2016,Life Expectancy
Calvert,79.7,All races/ ethnicities (aggregated),2016,Life Expectancy
Caroline,76.1,All races/ ethnicities (aggregated),2016,Life Expectancy
Carroll,79.1,All races/ ethnicities (aggregated),2016,Life Expectancy
Cecil,76.8,All races/ ethnicities (aggregated),2016,Life Expectancy
Charles,79.2,All races/ ethnicities (aggregated),2016,Life Expectancy
Dorchester,76.8,All races/ ethnicities (aggregated),2016,Life Expectancy
Frederick,80.2,All races/ ethnicities (aggregated),2016,Life Expectancy
Garrett,78.9,All races/ ethnicities (aggregated),2016,Life Expectancy
Harford,79.4,All races/ ethnicities (aggregated),2016,Life Expectancy
Howard,83.3,All races/ ethnicities (aggregated),2016,Life Expectancy
Kent,79.6,All races/ ethnicities (aggregated),2016,Life Expectancy
Montgomery,84.9,All races/ ethnicities (aggregated),2016,Life Expectancy
Prince George's,79.6,All races/ ethnicities (aggregated),2016,Life Expectancy
Queen Anne's,79.4,All races/ ethnicities (aggregated),2016,Life Expectancy
Saint Mary's,79.5,All races/ ethnicities (aggregated),2016,Life Expectancy
Somerset,76.3,All races/ ethnicities (aggregated),2016,Life Expectancy
Talbot,81.1,All races/ ethnicities (aggregated),2016,Life Expectancy
Washington,77.5,All races/ ethnicities (aggregated),2016,Life Expectancy
Wicomico,76.9,All races/ ethnicities (aggregated),2016,Life Expectancy
Worcester,78.5,All races/ ethnicities (aggregated),2016,Life Expectancy
State,77.2,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Allegany,80.4,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Anne Arundel,77.8,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Baltimore City,71.6,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Baltimore County,77.4,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Calvert,77.4,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Caroline,74.2,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Carroll,78,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Cecil,72.4,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Charles,79.3,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Dorchester,74.6,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Frederick,77.8,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Garrett,,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Harford,77.5,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Howard,82.1,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Kent,75.1,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Montgomery,82.9,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Prince George's,79.1,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Queen Anne's,76.4,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Saint Mary's,77.3,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Somerset,75.9,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Talbot,77.8,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Washington,76.3,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Wicomico,74.7,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
Worcester,72.5,Black (Hispanic & Non-Hispanic),2016,Life Expectancy
State,80.1,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Allegany,76,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Anne Arundel,79.7,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Baltimore City,76.6,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Baltimore County,78.8,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Calvert,80,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Caroline,76.4,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Carroll,79.1,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Cecil,77.1,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Charles,78.9,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Dorchester,77.7,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Frederick,80.2,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Garrett,78.9,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Harford,79.5,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Howard,82.8,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Kent,80.4,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Montgomery,84.7,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Prince George's,80.2,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Queen Anne's,79.6,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Saint Mary's,79.8,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Somerset,76.5,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Talbot,81.7,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Washington,77.5,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Wicomico,77.6,White (Hispanic & Non-Hispanic),2016,Life Expectancy
Worcester,79.7,White (Hispanic & Non-Hispanic),2016,Life Expectancy
State,79.5,All races/ ethnicities (aggregated),2015,Life Expectancy
Allegany,76.4,All races/ ethnicities (aggregated),2015,Life Expectancy
Anne Arundel,79.6,All races/ ethnicities (aggregated),2015,Life Expectancy
Baltimore City,73.4,All races/ ethnicities (aggregated),2015,Life Expectancy
Baltimore County,78.7,All races/ ethnicities (aggregated),2015,Life Expectancy
Calvert,79.7,All races/ ethnicities (aggregated),2015,Life Expectancy
Caroline,76.1,All races/ ethnicities (aggregated),2015,Life Expectancy
Carroll,79.1,All races/ ethnicities (aggregated),2015,Life Expectancy
Cecil,76.8,All races/ ethnicities (aggregated),2015,Life Expectancy
Charles,79.2,All races/ ethnicities (aggregated),2015,Life Expectancy
Dorchester,76.8,All races/ ethnicities (aggregated),2015,Life Expectancy
Frederick,80.2,All races/ ethnicities (aggregated),2015,Life Expectancy
Garrett,78.9,All races/ ethnicities (aggregated),2015,Life Expectancy
Harford,79.4,All races/ ethnicities (aggregated),2015,Life Expectancy
Howard,83.3,All races/ ethnicities (aggregated),2015,Life Expectancy
Kent,79.6,All races/ ethnicities (aggregated),2015,Life Expectancy
Montgomery,84.9,All races/ ethnicities (aggregated),2015,Life Expectancy
Prince George's,79.6,All races/ ethnicities (aggregated),2015,Life Expectancy
Queen Anne's,79.4,All races/ ethnicities (aggregated),2015,Life Expectancy
Saint Mary's,79.5,All races/ ethnicities (aggregated),2015,Life Expectancy
Somerset,76.3,All races/ ethnicities (aggregated),2015,Life Expectancy
Talbot,81.1,All races/ ethnicities (aggregated),2015,Life Expectancy
Washington,77.5,All races/ ethnicities (aggregated),2015,Life Expectancy
Wicomico,76.9,All races/ ethnicities (aggregated),2015,Life Expectancy
Worcester,78.5,All races/ ethnicities (aggregated),2015,Life Expectancy
State,77.2,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Allegany,80.4,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Anne Arundel,77.8,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Baltimore City,71.6,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Baltimore County,77.4,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Calvert,77.4,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Caroline,74.2,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Carroll,78,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Cecil,72.4,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Charles,79.3,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Dorchester,74.6,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Frederick,77.8,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Garrett,,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Harford,77.5,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Howard,82.1,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Kent,75.1,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Montgomery,82.9,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Prince George's,79.1,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Queen Anne's,76.4,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Saint Mary's,77.3,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Somerset,75.9,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Talbot,77.8,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Washington,76.3,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Wicomico,74.7,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
Worcester,72.5,Black (Hispanic & Non-Hispanic),2015,Life Expectancy
State,,Hispanic,2015,Life Expectancy
Allegany,,Hispanic,2015,Life Expectancy
Anne Arundel,,Hispanic,2015,Life Expectancy
Baltimore City,,Hispanic,2015,Life Expectancy
Baltimore County,,Hispanic,2015,Life Expectancy
Calvert,,Hispanic,2015,Life Expectancy
Caroline,,Hispanic,2015,Life Expectancy
Carroll,,Hispanic,2015,Life Expectancy
Cecil,,Hispanic,2015,Life Expectancy
Charles,,Hispanic,2015,Life Expectancy
Dorchester,,Hispanic,2015,Life Expectancy
Frederick,,Hispanic,2015,Life Expectancy
Garrett,,Hispanic,2015,Life Expectancy
Harford,,Hispanic,2015,Life Expectancy
Howard,,Hispanic,2015,Life Expectancy
Kent,,Hispanic,2015,Life Expectancy
Montgomery,,Hispanic,2015,Life Expectancy
Prince George's,,Hispanic,2015,Life Expectancy
Queen Anne's,,Hispanic,2015,Life Expectancy
Saint Mary's,,Hispanic,2015,Life Expectancy
Somerset,,Hispanic,2015,Life Expectancy
Talbot,,Hispanic,2015,Life Expectancy
Washington,,Hispanic,2015,Life Expectancy
Wicomico,,Hispanic,2015,Life Expectancy
Worcester,,Hispanic,2015,Life Expectancy
State,80.1,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Allegany,76,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Anne Arundel,79.7,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Baltimore City,76.6,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Baltimore County,78.8,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Calvert,80,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Caroline,76.4,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Carroll,79.1,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Cecil,77.1,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Charles,78.9,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Dorchester,77.7,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Frederick,80.2,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Garrett,78.9,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Harford,79.5,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Howard,82.8,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Kent,80.4,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Montgomery,84.7,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Prince George's,80.2,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Queen Anne's,79.6,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Saint Mary's,79.8,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Somerset,76.5,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Talbot,81.7,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Washington,77.5,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Wicomico,77.6,White (Hispanic & Non-Hispanic),2015,Life Expectancy
Worcester,79.7,White (Hispanic & Non-Hispanic),2015,Life Expectancy
State,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Allegany,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Anne Arundel,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Baltimore City,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Baltimore County,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Calvert,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Caroline,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Carroll,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Cecil,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Charles,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Dorchester,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Frederick,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Garrett,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Harford,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Howard,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Kent,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Montgomery,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Prince George's,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Queen Anne's,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Saint Mary's,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Somerset,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Talbot,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Washington,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Wicomico,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
Worcester,,Asian/ Pacific Islander Non-Hispanic,2015,Life Expectancy
State,79.7,All races/ ethnicities (aggregated),2014,Life Expectancy
Allegany,76.9,All races/ ethnicities (aggregated),2014,Life Expectancy
Anne Arundel,79.8,All races/ ethnicities (aggregated),2014,Life Expectancy
Baltimore City,73.9,All races/ ethnicities (aggregated),2014,Life Expectancy
Baltimore County,79.1,All races/ ethnicities (aggregated),2014,Life Expectancy
Calvert,80.1,All races/ ethnicities (aggregated),2014,Life Expectancy
Caroline,76.1,All races/ ethnicities (aggregated),2014,Life Expectancy
Carroll,79.3,All races/ ethnicities (aggregated),2014,Life Expectancy
Cecil,77.1,All races/ ethnicities (aggregated),2014,Life Expectancy
Charles,79.5,All races/ ethnicities (aggregated),2014,Life Expectancy
Dorchester,77.6,All races/ ethnicities (aggregated),2014,Life Expectancy
Frederick,80.8,All races/ ethnicities (aggregated),2014,Life Expectancy
Garrett,78.8,All races/ ethnicities (aggregated),2014,Life Expectancy
Harford,79.7,All races/ ethnicities (aggregated),2014,Life Expectancy
Howard,82.9,All races/ ethnicities (aggregated),2014,Life Expectancy
Kent,79.5,All races/ ethnicities (aggregated),2014,Life Expectancy
Montgomery,84.6,All races/ ethnicities (aggregated),2014,Life Expectancy
Prince George's,79.9,All races/ ethnicities (aggregated),2014,Life Expectancy
